annual_income,spending_score,age,purchase_frequency,category
137321.75316497017,69.51529105541252,40,28,sports
16641.16414944722,21.41895926977911,41,30,sports
105992.689072937,39.794077945614575,28,3,clothing
21997.832881163416,89.67180298425909,63,28,food
89095.91978544305,21.22732195649806,51,3,food
53830.41842089656,51.27270133191913,45,45,sports
56414.84093548906,42.50789445543618,22,34,electronics
62649.397966068136,2.7942800635272436,22,16,food
98874.48062169737,79.48305324370847,68,22,clothing
60096.745365283845,7.835544725145373,38,32,food
113914.37182968785,47.95124707671841,29,38,sports
69611.19705247242,56.507151198956045,67,8,electronics
24227.68204184441,63.21421920484412,21,8,food
120807.57873535447,69.17453130147969,66,6,food
53577.37382001531,26.073965968748794,59,14,sports
73423.52874590046,1.987898889186488,37,32,electronics
107534.9242349567,72.62092257313628,55,35,electronics
59881.58121507612,54.03000333541028,42,10,sports
22639.06357980661,83.77565261751762,31,3,clothing
65479.34134672984,82.31744792716873,28,12,food
142500.55866373098,84.48929061100043,49,49,clothing
101634.14363530536,49.02437133797447,28,31,food
105649.68507007294,34.0292111878497,35,29,food
100358.09074108138,79.36426205654563,44,5,clothing
41863.93875952397,45.67811718989624,35,25,sports
71475.07165380783,19.160777443940017,40,41,sports
116376.87277904796,85.64242793658596,28,31,food
28685.341169676485,88.37342780046238,38,21,sports
52510.12477211116,47.16466585787684,61,20,food
52303.07964289024,8.494273003668958,22,39,sports
73322.55522525831,39.394782901776196,40,22,food
147349.780027195,80.55022828679773,58,4,sports
24112.84380231596,90.27562882607664,42,13,electronics
85024.63424138032,21.143801507261987,58,45,clothing
39214.23207164841,7.630387590501881,27,42,electronics
146041.33363031546,87.85769486015103,39,49,clothing
30295.973138207664,39.55108895890866,36,20,clothing
69486.13531881482,54.634335462488764,18,13,food
114614.47295267183,96.83851539302513,24,17,clothing
110114.84778370512,7.589908063508062,21,36,electronics
72068.36598068086,65.18348273775746,18,33,electronics
61780.76267361696,8.33643683491184,32,1,sports
68677.67110463753,38.171423918183535,57,15,electronics
50677.2955264163,80.57763997415123,29,13,sports
42719.946725417976,43.9137510428078,39,17,clothing
80210.35917045015,99.72105303639209,39,24,electronics
51252.05706912699,56.34686920971362,67,8,clothing
53807.324761128766,32.795053110959394,64,27,electronics
103662.0685690652,22.79102126457056,34,45,electronics
