numeric_feat,high_card_cat,medium_card_cat,low_card_cat,target
1.1985326271211874,category_63,med_22,low_a,1
0.7980598733523421,category_64,med_12,low_a,1
-1.1766718290700633,category_65,med_15,low_a,1
-0.10213305824070133,category_66,med_23,low_c,0
0.9899490399685423,category_67,med_12,low_b,1
-1.2221760651510123,category_68,med_23,low_a,0
0.41971082035867624,category_69,med_21,low_c,0
-0.03923647369874391,category_70,med_25,low_b,0
-1.7547887421223871,category_71,med_1,low_a,0
0.11965930451893353,category_72,med_15,low_b,0
-0.8374680161265329,category_73,med_5,low_a,0
-1.167651782116426,category_74,med_13,low_b,1
0.009140675822632775,category_75,med_0,low_b,0
-1.9308529392530067,category_76,med_16,low_a,0
-0.6742902925848823,category_77,med_10,low_c,0
2.5511742525026477,category_78,med_18,low_b,1
0.6502223934069432,category_79,med_2,low_a,1
-0.8814249061673531,category_80,med_10,low_b,0
1.4041659401003963,category_81,med_28,low_b,1
-0.9920435607771338,category_82,med_4,low_c,0
-0.5536951531354725,category_83,med_16,low_b,1
-1.1488514099292881,category_84,med_25,low_b,0
0.2560798786660208,category_85,med_21,low_a,1
1.3686296220971284,category_86,med_6,low_a,1
-0.9990062325598563,category_87,med_9,low_c,1
-2.060443037409089,category_88,med_27,low_b,0
1.0909666745194195,category_89,med_28,low_b,0
1.5538005010876805,category_90,med_10,low_b,0
-1.995080466414733,category_91,med_2,low_c,1
0.46005434144644425,category_92,med_19,low_b,1
0.22650535211528855,category_93,med_9,low_a,0
-0.7874753048877547,category_94,med_26,low_c,1
-1.394355666669233,category_95,med_9,low_a,0
0.9917503454465558,category_96,med_13,low_a,0
0.17907053145719495,category_97,med_11,low_c,0
0.25442645742672076,category_98,med_14,low_a,0
-0.6217693528332011,category_99,med_9,low_b,1
-0.8019092044499575,category_100,med_29,low_c,1
-2.4549735412739464,category_101,med_9,low_a,1
-0.22802802978487915,category_102,med_25,low_b,0
1.4388263794542226,category_103,med_18,low_b,1
-0.8902544200486536,category_104,med_0,low_a,0
-1.5224146942667398,category_105,med_23,low_b,0
0.43566456645700186,category_106,med_28,low_c,0
0.6200799984463362,category_107,med_25,low_a,0
-0.5859059606811758,category_108,med_9,low_b,0
-0.34876446469964173,category_109,med_1,low_b,0
0.26390311721875853,category_110,med_16,low_a,1
-0.15554946862932667,category_111,med_29,low_a,1
1.0001293357539818,category_112,med_23,low_a,1
2.4372425759242193,category_113,med_6,low_a,1
-1.7091635551904558,category_114,med_6,low_c,0
1.2297551305579804,category_115,med_19,low_a,0
0.10525970102333387,category_116,med_26,low_c,1
1.3882009388541612,category_117,med_8,low_c,1
0.7243545112656794,category_118,med_21,low_a,1
0.061156459935711685,category_119,med_1,low_c,1
0.7600229424410339,category_120,med_13,low_a,1
-0.3941557711847975,category_121,med_16,low_a,1
-0.7743014221048548,category_122,med_0,low_b,1
0.8108631155983491,category_123,med_8,low_a,1
-0.8443284487895042,category_124,med_19,low_b,0
0.6423725916415679,category_125,med_20,low_c,0
0.030747583087498632,category_126,med_18,low_b,0
-2.329441651122576,category_127,med_3,low_c,0
-0.5743824504629396,category_128,med_27,low_a,1
0.3348381950246217,category_129,med_7,low_c,0
-0.40600066390849227,category_130,med_12,low_c,1
-2.5467321117621853,category_131,med_3,low_a,0
1.3207501278261604,category_132,med_8,low_c,1
0.1693750512716112,category_133,med_8,low_a,1
0.4437392912698055,category_134,med_21,low_b,0
-0.4732761521782438,category_135,med_17,low_a,0
0.5314896881466579,category_136,med_11,low_a,1
1.8348201445867027,category_137,med_9,low_c,1
-0.7350729836273578,category_138,med_10,low_b,1
1.667012705357071,category_139,med_6,low_a,0
0.3985640658920072,category_140,med_8,low_b,0
-0.8694327480368637,category_141,med_5,low_b,1
2.2123906375910085,category_142,med_18,low_c,0
0.39164023988893254,category_143,med_15,low_a,1
0.6764786687730411,category_144,med_29,low_c,0
-0.26935210472675786,category_145,med_14,low_a,0
-0.7963266453295174,category_146,med_6,low_b,0
0.16781324467578934,category_147,med_15,low_a,0
1.5814637234833284,category_148,med_4,low_a,0
-0.30965981218568894,category_149,med_15,low_b,1
